Codigo_UF;Nome_UF;CODMUNRES;Nome_Mun;Total_Estimado;Sub_IBGE;Sub_MS
11;Rondônia;1100015;Alta Floresta D'Oeste;140;0,04;0,75
11;Rondônia;1100023;Ariquemes;670;0,33;0,48
11;Rondônia;1100031;Cabixi;53;0,04;0,04
11;Rondônia;1100049;Cacoal;597;0,71;0,04
11;Rondônia;1100056;Cerejeiras;112;0,93;0,93
11;Rondônia;1100064;Colorado do Oeste;103;0,03;0,03
11;Rondônia;1100072;Corumbiara;48;0,06;0,06
11;Rondônia;1100080;Costa Marques;70;0,05;2,91
11;Rondônia;1100098;Espigão D'Oeste;189;4,30;4,83
11;Rondônia;1100106;Guajará-Mirim;328;6,77;1,29
11;Rondônia;1100114;Jaru;315;0,06;1,33
11;Rondônia;1100122;Ji-Paraná;810;0,71;17,51
11;Rondônia;1100130;Machadinho D'Oeste;137;0,78;3,70
11;Rondônia;1100148;Nova Brasilândia D'Oeste;98;0,04;0,04
11;Rondônia;1100155;Ouro Preto do Oeste;242;0,45;1,27
11;Rondônia;1100189;Pimenta Bueno;219;0,52;0,97
11;Rondônia;1100205;Porto Velho;3395;0,96;0,99
11;Rondônia;1100254;Presidente Médici;154;0,05;4,60
11;Rondônia;1100262;Rio Crespo;19;0,05;10,57
11;Rondônia;1100288;Rolim de Moura;317;0,66;2,87
11;Rondônia;1100296;Santa Luzia D'Oeste;52;0,04;3,88
11;Rondônia;1100304;Vilhena;594;1,87;1,03
11;Rondônia;1100320;São Miguel do Guaporé;135;0,79;4,49
11;Rondônia;1100338;Nova Mamoré;122;5,79;0,87
11;Rondônia;1100346;Alvorada D'Oeste;94;0,04;2,17
11;Rondônia;1100379;Alto Alegre dos Parecis;67;0,04;0,04
11;Rondônia;1100403;Alto Paraíso;94;1,12;0,06
11;Rondônia;1100452;Buritis;163;0,05;2,50
11;Rondônia;1100502;Novo Horizonte do Oeste;46;2,22;4,39
11;Rondônia;1100601;Cacaulândia;22;0,04;0,04
11;Rondônia;1100700;Campo Novo de Rondônia;48;2,13;0,05
11;Rondônia;1100809;Candeias do Jamari;163;3,72;1,88
11;Rondônia;1100908;Castanheiras;19;0,04;10,56
11;Rondônia;1100924;Chupinguaia;38;15,82;2,67
11;Rondônia;1100940;Cujubim;78;0,06;2,62
11;Rondônia;1101005;Governador Jorge Teixeira;46;0,05;4,39
11;Rondônia;1101104;Itapuã do Oeste;54;1,90;1,90
11;Rondônia;1101203;Ministro Andreazza;39;2,61;10,30
11;Rondônia;1101302;Mirante da Serra;67;0,06;4,53
11;Rondônia;1101401;Monte Negro;77;0,04;1,34
11;Rondônia;1101435;Nova União;44;2,33;9,14
11;Rondônia;1101450;Parecis;22;4,72;4,72
11;Rondônia;1101468;Pimenteiras do Oeste;16;6,29;12,53
11;Rondônia;1101476;Primavera de Rondônia;14;0,03;0,03
11;Rondônia;1101484;São Felipe D'Oeste;26;0,04;0,04
11;Rondônia;1101492;São Francisco do Guaporé;89;1,18;2,30
11;Rondônia;1101500;Seringueiras;51;2,02;3,98
11;Rondônia;1101559;Teixeirópolis;35;0,06;5,77
11;Rondônia;1101609;Theobroma;49;0,07;0,07
11;Rondônia;1101708;Urupá;80;0,04;1,29
11;Rondônia;1101757;Vale do Anari;51;0,06;3,98
11;Rondônia;1101807;Vale do Paraíso;49;0,05;0,05
12;Acre;1200013;Acrelândia;80;1,36;1,36
12;Acre;1200054;Assis Brasil;52;11,66;2,06
12;Acre;1200104;Brasiléia;156;0,77;2,05
12;Acre;1200138;Bujari;71;9,99;1,55
12;Acre;1200179;Capixaba;48;4,31;2,23
12;Acre;1200203;Cruzeiro do Sul;473;4,16;2,89
12;Acre;1200252;Epitaciolândia;107;3,90;2,03
12;Acre;1200302;Feijó;176;2,48;2,48
12;Acre;1200328;Jordão;16;6,50;12,73
12;Acre;1200336;Mâncio Lima;80;1,37;5,12
12;Acre;1200344;Manoel Urbano;43;7,14;11,78
12;Acre;1200351;Marechal Thaumaturgo;37;5,60;10,99
12;Acre;1200385;Plácido de Castro;97;2,20;4,26
12;Acre;1200393;Porto Walter;15;33,54;6,95
12;Acre;1200401;Rio Branco;2649;4,16;1,63
12;Acre;1200427;Rodrigues Alves;58;3,61;0,16
12;Acre;1200435;Santa Rosa do Purus;30;3,59;10,24
12;Acre;1200450;Senador Guiomard;135;9,76;2,36
12;Acre;1200500;Sena Madureira;235;6,95;1,00
12;Acre;1200609;Tarauacá;199;2,21;3,72
12;Acre;1200708;Xapuri;104;1,12;4,00
12;Acre;1200807;Porto Acre;121;1,81;2,64
13;Amazonas;1300029;Alvarães;80;9,21;0,50
13;Amazonas;1300060;Amaturá;54;15,26;4,21
13;Amazonas;1300086;Anamã;46;30,73;6,91
13;Amazonas;1300102;Anori;77;14,71;5,66
13;Amazonas;1300144;Apuí;80;11,65;2,94
13;Amazonas;1300201;Atalaia do Norte;43;19,52;12,62
13;Amazonas;1300300;Autazes;208;26,02;2,96
13;Amazonas;1300409;Barcelos;99;10,52;3,48
13;Amazonas;1300508;Barreirinha;145;32,47;4,91
13;Amazonas;1300607;Benjamin Constant;207;30,44;0,97
13;Amazonas;1300631;Beruri;69;20,75;2,02
13;Amazonas;1300680;Boa Vista do Ramos;73;35,98;1,93
13;Amazonas;1300706;Boca do Acre;214;20,62;7,55
13;Amazonas;1300805;Borba;156;55,70;3,06
13;Amazonas;1300839;Caapiranga;53;39,89;0,44
13;Amazonas;1300904;Canutama;52;0,53;0,53
13;Amazonas;1301001;Carauari;130;9,81;6,72
