"code_micro";"mes_01";"mes_02";"mes_03";"mes_04";"mes_05";"mes_06";"mes_07";"mes_08";"mes_09";"mes_10";"mes_11";"mes_12"
35050;5.26783389709286;5.01458877597298;6.88473249371896;6.29414279030805;6.31918346409985;7.06052082324104;5.91079002240255;6.89570586319777;7.14991284742155;6.50405877356577;8.46033671694853;6.96565556731552
35051;5.30767250599104;5.02836128087712;8.59241247016822;7.58165874464851;7.16288935675821;6.68720151933219;3.95771688359196;6.31818705940517;6.38225778751491;6.15666176726004;6.59446397616359;8.62130709626419
35052;13.6363636363636;11.1111111111111;10;0;4.76190476190476;3.57142857142857;7.69230769230769;6.66666666666667;21.4285714285714;15;7.14285714285714;7.14285714285714
35053;8.46715674569911;4.40628277172812;3.02685425091411;8.32029819948747;7.03480257530053;7.53247438017151;5.12141596908713;13.4445259652209;7.68189281839045;12.4865509440873;10.7026084040449;8.32029819948747
35054;7.33520245158766;5.53909827911295;6.03891746812794;6.85101131076593;10.1877773207757;6.9215009505528;8.26262363639168;8.3092810917216;5.67027415477103;6.94270876725263;6.90554653497689;9.8952603750099
35055;5.92259673715685;6.44210300842184;7.1019568133744;5.81677545113941;5.58580618718805;6.0625436250535;5.7166660251297;4.73326135907424;9.93823387645782;8.00745654353334;6.65552633950147;8.16232734323152
35056;8.74635976506578;9.11000460705947;10.6155835350884;5.39166651337419;8.38669757941271;7.485646273271;6.84277693573606;7.30098102129196;6.72113474262087;6.18690546218087;7.56376653280127;7.6767401490631
35057;6.37144455514769;6.04081820545634;6.52565539399065;6.61209066684029;7.26497068969898;7.9637654968915;7.64682515600968;8.79866118845694;6.11765647423311;7.30079537315412;8.88603599293459;9.10116561661774
35058;7.29197933147812;8.55053356239061;7.84557376114241;8.52426891527231;9.43530512231328;6.26618051233051;8.30776963385582;8.98870299807202;7.73585601114691;9.83047155199159;7.26413944564931;10.9104108399128
35059;7.52770767171519;6.42754941388859;7.58191661597654;7.35319039420569;7.6973372071866;7.00083601650097;7.78398382315184;6.94591168058606;6.61922797470278;6.31543645110219;8.16806667552656;6.39725331468452
35060;7.9880048360321;8.26287368631067;6.93468400099054;9.15902988756615;7.60676697990532;7.09599376888265;6.67947434735194;7.53884515614121;7.99530021716326;7.83827035500833;7.67374929932423;7.76708550597275
35061;6.78227407080892;6.91092554245522;7.50163240309367;7.35064796708269;7.02780164603229;7.12814812025921;7.00632676458553;7.0649445061427;6.27378472742227;6.90690350990135;7.23051765859939;7.00112592264417
35062;7.84823351658154;6.66122073399266;8.20075995940456;8.77934443619797;8.20988949314064;7.54072658671026;7.98351005997113;8.8257005947427;6.80033687822689;9.41903603121816;8.46304485202196;9.06516098147894
35063;6.1551884850117;4.91657416483559;6.65478458986039;6.28430091941763;8.37372659543417;6.53457963987653;6.25469143006541;7.07247036789412;6.10312988576627;8.17851626875515;6.88174513875767;7.38272470813392
41001;2.04210340735164;5.66767404324939;3.5985061619511;5.7864992802616;5.02402583354084;5.6784183901258;3.96105370122381;4.16263490248271;6.67911765516216;4.27468803326733;4.6122766505032;8.63991310715961
41002;6.60511395733583;3.70767353597454;6.11560387154419;5.18589923492734;5.71221011793698;5.02780556039382;7.27156622595467;4.39023611488051;3.15212027370211;5.48948699899458;4.89000942549317;6.44933100071214
41003;6.28042517082756;4.07312342718036;2.24296969187204;4.20699876314236;7.8934652820025;4.3650830768847;4.24664515033124;4.27685203731411;2.75243814411353;2.89152933709521;3.36992396777544;4.15857477325371
41004;3.75604135777139;5.43490666634782;4.3811866005789;6.18956470338832;7.46622068441778;2.90615164493027;3.97155966126568;4.80988913205551;5.24337565028782;6.66067206181104;14.3450798617493;5.63233682275374
41005;5.20307605856582;5.03269574670107;4.18918671890709;6.04966951519677;6.23894536867488;8.8487570445938;4.49728527507032;5.10287393860222;6.54455972565206;7.95975547631177;7.3375180013775;3.56236997349597
41006;4.14270800536895;5.25534026178283;7.14687981521028;6.8934437318347;5.13649775838568;4.36879630924088;3.06412133511938;4.10210971502644;5.73889464106801;7.80441417665832;2.73134789833705;2.57417484825239
41007;1.29490906501091;4.33031654613952;7.11792407168034;8.15823051243478;1.53392113191108;7.29378642334595;7.1153411023371;4.08932169058011;7.66747686338857;9.77784730913642;7.66110929798191;4.23873397493637
41008;7.31707317073171;8;10;10;3.84615384615385;2.63157894736842;6.25;8.69565217391304;2.7027027027027;3.84615384615385;3.7037037037037;0
41009;3.18300457443229;5.07244995643842;3.23461469000262;5.77042184348308;5.75434098631175;3.82305568529935;3.8022090834775;4.55600880611416;2.98633334408413;3.93507648476994;3.51041012121446;3.73451808844957
41010;3.700363098129;4.80218979854814;5.24383848977452;8.35073068893528;6.35181856896415;8.88338964767842;7.7259679105919;5.91600825127467;7.0650952182151;9.22066905174639;7.71226249737082;8.50253107753836
41011;6.99300427622211;4.3770733820456;6.07639312929123;7.92554154811377;5.36452561134256;5.91393284560284;8.0955490671229;5.5090577643518;8.44016580491143;6.65651470772405;6.60877001020624;7.43705462888478
41012;9.07778756161548;11.3513304894467;12.8100676883977;11.0915160993356;15.2121331974383;10.787631979935;6.65432289769145;3.43509221505051;5.76923076923077;2.85196043760481;2.55680583360819;1.99619126706245
41013;3.55616247395111;10.1248563536005;4.77010479920244;6.89948598829387;2.70304240938388;3.65991686498841;3.75956456723182;8.21909926891112;3.3241365555297;2.19620130381151;7.21051581626644;6.68390122976356
41014;10.190266839416;6.28012497448699;4.8940599163442;5.23362920783788;9.46772452708716;3.48190627404692;7.21925230203908;8.72965989245059;11.0053548912514;8.59919167598246;8.0512704904834;0
41015;9.33068507755977;4.29560645371914;6.22148228059632;7.66250643650541;4.180476172958;2.8960240485837;5.15545855655753;11.2666486400288;5.63813332681816;8.21077047817474;8.70761568067432;8.06445109313635
41016;8.5261886146393;4.92976319882475;5.12080294190129;7.36361962813721;4.91957548280362;9.43044067663412;7.79887633789724;5.39581446671817;6.0203090826683;7.60542304690359;5.64954196338532;5.19975373966289
41017;6.59724894718902;4.88546038135904;1.30100255256701;5.54677316471143;6.58426676288475;2.86726841073047;9.20786088237615;6.48950322852786;5.33817327710458;2.78922911285779;9.86626976072886;7.26845606363679
41018;5.67189237017038;5.24703935804223;7.10776003917797;2.62332238533458;6.90823291798106;3.80544292501565;10.2845107041187;6.34216525145779;9.60499879064333;8.78912258189265;5.42462617544868;6.91084321172553
