CD_MICRO;NM_MICRO;SIGLA_UF;2013;2014;2015;2016;2017;2018
22014;Pio IX;PI;-125;55;-17;-120;-43;-31
22015;Alto Médio Canindé;PI;-866;-661;-775;-880;-831;-855
23001;Litoral de Camocim e Acaraú;CE;-322;-226;-276;-349;-340;-683
23002;Ibiapaba;CE;-312;-220;-275;-395;-563;-501
23003;Coreaú;CE;-154;-117;-201;15;-65;-99
23004;Meruoca;CE;88;57;100;151;140;92
23005;Sobral;CE;819;938;638;1269;1077;1165
23006;Ipu;CE;-1293;-1155;-1149;-1143;-1238;-1409
23007;Santa Quitéria;CE;-539;-450;-469;-261;-153;-408
23008;Itapipoca;CE;1004;1015;889;765;714;760
23009;Baixo Curu;CE;358;244;183;202;162;228
23010;Uruburetama;CE;228;301;176;154;226;332
23011;Médio Curu;CE;35;41;199;-51;137;25
23012;Canindé;CE;-63;40;-200;-89;10;-17
23013;Baturité;CE;-643;-459;-789;-720;-484;-440
23014;Chorozinho;CE;-89;-197;-219;-117;-168;14
23015;Cascavel;CE;679;593;511;455;498;585
23016;Fortaleza;CE;11155;12270;9977;7916;9233;11774
23017;Pacajus;CE;3595;3673;3754;3817;4219;4441
23018;Sertão de Cratéus;CE;-1832;-1499;-1738;-1771;-1607;-1654
23019;Sertão de Quixeramobim;CE;-17;409;53;38;263;95
23020;Sertão de Inhamuns;CE;-696;-698;-695;-674;-759;-759
23021;Sertão de Senador Pompeu;CE;-1040;-745;-866;-978;-801;-950
23022;Litoral de Aracati;CE;291;235;200;127;69;141
23023;Baixo Jaguaribe;CE;-304;-84;-176;-669;-336;-338
23024;Médio Jaguaribe;CE;-559;-557;-545;-566;-458;-558
23025;Serra do Pereiro;CE;-193;-185;-289;-169;-198;-160
23026;Iguatu;CE;-916;-830;-1159;-1154;-868;-920
23027;Várzea Alegre;CE;-512;-440;-497;-547;-395;-534
23028;Lavras da Mangabeira;CE;-414;-408;-452;-512;-445;-511
23029;Chapada do Araripe;CE;-694;-643;-501;-620;-544;-721
23030;Caririaçu;CE;-642;-712;-724;-661;-684;-685
23031;Barro;CE;-788;-862;-955;-785;-770;-859
23032;Cariri;CE;-328;-289;-290;-592;-369;-616
23033;Brejo Santo;CE;0;-75;-202;-153;-56;-16
24001;Mossoró;RN;2348;2212;2280;2137;2844;2559
24002;Chapada do Apodi;RN;-581;-534;-622;-600;-483;-492
24003;Médio Oeste;RN;-209;-232;-264;-220;-116;-185
24004;Vale do Açu;RN;36;163;-54;-153;154;-24
24005;Serra de São Miguel;RN;-402;-216;-335;-351;-326;-444
24006;Pau dos Ferros;RN;-872;-787;-898;-942;-798;-796
24007;Umarizal;RN;-498;-415;-497;-486;-362;-361
24008;Macau;RN;377;459;221;215;425;345
24009;Angicos;RN;-551;-482;-463;-551;-428;-479
24010;Serra de Santana;RN;-577;-520;-602;-593;-443;-534
24011;Seridó Ocidental;RN;-108;-34;31;-58;41;8
24012;Seridó Oriental;RN;-784;-804;-821;-773;-503;-792
24013;Baixa Verde;RN;-199;-121;-196;-178;-107;-187
24014;Borborema Potiguar;RN;-761;-697;-850;-803;-725;-790
24015;Agreste Potiguar;RN;-148;-63;-156;-102;11;4
24016;Litoral Nordeste;RN;-28;-255;-298;-171;-52;-91
24017;Macaíba;RN;1381;1288;1100;1170;1745;1391
24018;Natal;RN;7446;7759;7694;7772;9561;9592
24019;Litoral Sul;RN;-193;-127;17;-130;-14;-76
25001;Catolé do Rocha;PB;-440;-382;-412;-439;-291;-325
25002;Cajazeiras;PB;-678;-571;-653;-805;-555;-717
25003;Sousa;PB;-1228;-1106;-1215;-1234;-929;-1073
25004;Patos;PB;-384;-400;-534;-573;-398;-597
25005;Piancó;PB;-859;-769;-828;-945;-767;-831
25006;Itaporanga;PB;-776;-860;-1006;-890;-868;-952
25007;Serra do Teixeira;PB;-573;-501;-585;-694;-575;-588
25008;Seridó Ocidental Paraibano;PB;-180;-176;-233;-241;-77;-177
25009;Seridó Oriental Paraibano;PB;-143;-193;-252;-214;-49;-133
25010;Cariri Ocidental;PB;-353;-371;-602;-502;-448;-511
25011;Cariri Oriental;PB;-344;-335;-399;-418;-357;-370
